1,Labrador Retriever,"{""type"":""MultiPolygon"",""coordinates"":[[[[-6.197884894220991,53.86756500916336],[-6.953730231138067,54.07370229757563],[-7.572167934591064,54.059956366586],[-7.366030646178785,54.59584096945272],[-7.572167934591064,55.13162221945486],[-6.733847011736145,55.17286001242378],[-5.661948614921968,54.5546031764838],[-6.197884894220991,53.86756500916336]]],[[[-3.093830673788716,53.40454740066968],[-3.092079637047107,53.40444082296357],[-2.945008510744344,53.98499970154671],[-3.614700825433033,54.60093677329257],[-3.630005458989331,54.61501292583301],[-4.844169073903061,54.79097117778684],[-5.082526617849283,55.06160065369937],[-4.7191121077567,55.50847260194348],[-5.047980922862109,55.78398550070755],[-5.586397670911197,55.31114614523681],[-5.644998745130238,56.27501496034483],[-6.149980841486411,56.78500967063348],[-5.786824713555291,57.81884837506464],[-5.009998745127632,58.63001333275008],[-4.211494513353557,58.55084503847911],[-3.005004848635281,58.63500010846632],[-4.073828497728073,57.55302480735525],[-3.055001796877718,57.69001902936094],[-1.959280564776918,57.68479970969951],[-2.219988165689358,56.87001740175355],[-3.119003058271176,55.97379303651547],[-2.085009324543023,55.9099984808513],[-2.005675679673857,55.80490285035017],[-1.11499101399221,54.62498647726539],[-0.4304849918542,54.46437612570218],[0.184981316742039,53.32501414653103],[0.469976840831805,52.929999498092],[1.681530795914682,52.739520168664],[1.559987827164321,52.099998480836],[1.050561557630942,51.80676056579568],[1.449865349950244,51.2894278021219],[0.550333693045502,50.76573883727587],[-0.787517462558696,50.77498891865622],[-2.489997524414434,50.50001862243124],[-2.956273972984093,50.69687999124704],[-3.617448085942385,50.22835561787275],[-4.542507900399244,50.34183706318566],[-5.245023159191135,49.95999990498108],[-5.776566941745273,50.15967763935685],[-4.309989793301895,51.21000112568918],[-3.414850633142123,51.42600861266925],[-3.422719467108379,51.42684816740609],[-4.98436723471093,51.593466091511],[-5.267295701508942,51.99140045837458],[-4.222346564134909,52.30135569926136],[-4.77001339356417,52.84000499125562],[-4.579999152026971,53.49500377055517],[-3.093830673788716,53.40454740066968]]]]}"
2,German Shepherd Dog,"{""type"":""MultiPolygon"",""coordinates"":[[[[-6.197884894220991,53.86756500916336],[-6.953730231138067,54.07370229757563],[-7.572167934591064,54.059956366586],[-7.366030646178785,54.59584096945272],[-7.572167934591064,55.13162221945486],[-6.733847011736145,55.17286001242378],[-5.661948614921968,54.5546031764838],[-6.197884894220991,53.86756500916336]]],[[[-3.093830673788716,53.40454740066968],[-3.092079637047107,53.40444082296357],[-2.945008510744344,53.98499970154671],[-3.614700825433033,54.60093677329257],[-3.630005458989331,54.61501292583301],[-4.844169073903061,54.79097117778684],[-5.082526617849283,55.06160065369937],[-4.7191121077567,55.50847260194348],[-5.047980922862109,55.78398550070755],[-5.586397670911197,55.31114614523681],[-5.644998745130238,56.27501496034483],[-6.149980841486411,56.78500967063348],[-5.786824713555291,57.81884837506464],[-5.009998745127632,58.63001333275008],[-4.211494513353557,58.55084503847911],[-3.005004848635281,58.63500010846632],[-4.073828497728073,57.55302480735525],[-3.055001796877718,57.69001902936094],[-1.959280564776918,57.68479970969951],[-2.219988165689358,56.87001740175355],[-3.119003058271176,55.97379303651547],[-2.085009324543023,55.9099984808513],[-2.005675679673857,55.80490285035017],[-1.11499101399221,54.62498647726539],[-0.4304849918542,54.46437612570218],[0.184981316742039,53.32501414653103],[0.469976840831805,52.929999498092],[1.681530795914682,52.739520168664],[1.559987827164321,52.099998480836],[1.050561557630942,51.80676056579568],[1.449865349950244,51.2894278021219],[0.550333693045502,50.76573883727587],[-0.787517462558696,50.77498891865622],[-2.489997524414434,50.50001862243124],[-2.956273972984093,50.69687999124704],[-3.617448085942385,50.22835561787275],[-4.542507900399244,50.34183706318566],[-5.245023159191135,49.95999990498108],[-5.776566941745273,50.15967763935685],[-4.309989793301895,51.21000112568918],[-3.414850633142123,51.42600861266925],[-3.422719467108379,51.42684816740609],[-4.98436723471093,51.593466091511],[-5.267295701508942,51.99140045837458],[-4.222346564134909,52.30135569926136],[-4.77001339356417,52.84000499125562],[-4.579999152026971,53.49500377055517],[-3.093830673788716,53.40454740066968]]]]}"
3,Poodle(All sizes),"{""type"":""MultiPolygon"",""coordinates"":[[[[-51.65779741067888,4.156232408053029],[-52.24933753112395,3.241094468596245],[-52.55642473001842,2.504705308437053],[-52.93965715189495,2.124857692875636],[-53.4184651352953,2.053389187015981],[-53.55483924011354,2.334896551925951],[-53.77852067728891,2.376702785650082],[-54.08806250671725,2.105556545414629],[-54.52475419779971,2.311848863123785],[-54.26970516622319,2.732391669115046],[-54.18172604024627,3.189779771330421],[-54.00693050801901,3.620037746592558],[-54.39954220235651,4.212611395683467],[-54.47863298197923,4.896755682795586],[-53.9580446030709,5.756548163267765],[-53.61845292826484,5.646529038918374],[-52.88214128275409,5.409850979021584],[-51.8233428615259,4.565768133966131],[-51.65779741067888,4.156232408053029]]],[[[6.186320428094177,49.46380280211451],[6.658229607783568,49.20195831969157],[8.099278598674744,49.01778351500333],[7.593676385131062,48.33301911070371],[7.466759067422231,47.6205819769118],[7.192202182655507,47.44976552997101],[6.736571079138059,47.54180125588284],[6.768713820023606,47.2877082383037],[6.037388950229001,46.72577871356186],[6.022609490593538,46.27298981382047],[6.500099724970426,46.42967275652944],[6.843592970414505,45.9911465521006],[6.802355177445605,45.70857982032863],[7.096652459347837,45.33309886329588],[6.749955275101655,45.02851797136757],[7.007562290076635,44.25476675066136],[7.549596388386107,44.1279011093848],[7.435184767291872,43.69384491634922],[6.52924523278304,43.12889232031831],[4.556962517931424,43.39965098731159],[3.100410597352663,43.07520050716705],[2.985998976258458,42.47301504166986],[1.826793247087153,42.34338471126569],[0.701590610363894,42.7957343613326],[0.338046909190581,42.57954600683955],[-1.502770961910528,43.03401439063043],[-1.901351284177764,43.42280202897833],[-1.384225226232985,44.02261037859011],[-1.193797573237418,46.01491771095486],[-2.225724249673846,47.06436269793822],[-2.963276129559603,47.57032664650795],[-4.491554938159481,47.95495433205637],[-4.592349819344776,48.68416046812699],[-3.295813971357802,48.90169240985962],[-1.616510789384961,48.64442129169454],[-1.933494025063311,49.77634186461574],[-0.98946895995536,49.34737580016091],[1.338761020522696,50.12717316344526],[1.6390010921385,50.9466063502975],[2.513573032246143,51.14850617126182],[2.658422071960274,50.79684804951574],[3.123251580425688,50.78036326761454],[3.588184441755658,50.37899241800356],[4.286022983425084,49.90749664977255],[4.799221632515724,49.98537303323637],[5.674051954784829,49.5294835475575],[5.897759230176348,49.44266714130711],[6.186320428094177,49.46380280211451]]],[[[8.746009148807559,42.62812185319391],[9.390000848028876,43.00998484961471],[9.560016310269134,42.15249197037952],[9.229752231491773,41.38000682226445],[8.775723097375362,41.58361196549442],[8.544212680707773,42.25651662858305],[8.746009148807559,42.62812185319391]]]]}"
4,Chihuahua,"{""type"":""MultiPolygon"",""coordinates"":[[[[-117.1277599999998,32.53533999999996],[-115.9913499999999,32.61239000000011],[-114.7213899999999,32.72082999999992],[-114.8149999999999,32.52528],[-113.30498,32.03914000000008],[-111.02361,31.33471999999994],[-109.035,31.34194000000013],[-108.2419399999999,31.34222000000005],[-108.24,31.75485371816637],[-106.5075899999998,31.75452000000001],[-106.1428999999999,31.39995000000004],[-105.63159,31.08383000000009],[-105.03737,30.64401999999995],[-104.7057499999999,30.12173000000001],[-104.4569699999998,29.57196000000004],[-103.9399999999999,29.27000000000003],[-103.11,28.97000000000002],[-102.48,29.75999999999999],[-101.6623999999999,29.77930000000009],[-100.9575999999999,29.38071000000013],[-100.45584,28.69612000000012],[-100.1099999999999,28.11000000000012],[-99.51999999999992,27.54000000000002],[-99.30000000000001,26.84000000000003],[-99.01999999999992,26.37000000000006],[-98.23999999999995,26.06000000000005],[-97.52999999999991,25.84000000000008],[-97.14000830767071,25.86999746347839],[-97.52807247596655,24.9921440699203],[-97.70294552284224,24.27234304452673],[-97.77604183631905,22.93257986092766],[-97.8723667061111,22.44421173755336],[-97.69904395220419,21.89868948006426],[-97.38895952023676,21.41101898852582],[-97.18933346229329,20.63543325447312],[-96.52557552772032,19.89093089444406],[-96.29212724484176,19.32037140550954],[-95.90088497595996,18.82802419684873],[-94.83906348344271,18.5627173934622],[-94.42572953975621,18.14437083584334],[-93.54865129268239,18.42383698167793],[-92.7861138577835,18.52483856859225],[-92.0373481920904,18.70456920010343],[-91.40790340855926,18.87608327888023],[-90.77186987991086,19.28412038825678],[-90.53358985061305,19.86741811775129],[-90.45147599970124,20.70752187752043],[-90.2786183336849,20.99985545499555],[-89.60132117385148,21.26172577563448],[-88.54386633986285,21.49367544197662],[-87.65841651075771,21.45884552661198],[-87.05189022494806,21.54354319913829],[-86.81198238803295,21.33151479744475],[-86.84590796583262,20.84986461026835],[-87.38329118523586,20.25540477139873],[-87.62105445021075,19.64655304613592],[-87.43675045444177,19.47240346931226],[-87.58656043165592,19.04013011319074],[-87.83719112827151,18.25981598558343],[-88.09066402866318,18.51664785407405],[-88.30003109409369,18.4999822046599],[-88.49012285027934,18.4868305526416],[-88.84834387892661,17.88319814704023],[-89.02985734735182,18.00151133877248],[-89.15090938999553,17.95546763760042],[-89.14308041050333,17.8083189966494],[-90.06793351923097,17.81932607672747],[-91.00151994501595,17.81759491624571],[-91.00226925328421,17.25465770107418],[-91.45392127151515,17.25217723232417],[-91.08167009150065,16.9184766707994],[-90.71182186558772,16.68748301845472],[-90.60084672724093,16.47077789963879],[-90.43886695022203,16.41010976812809],[-90.46447262242266,16.06956207932465],[-91.74796017125595,16.06656484625176],[-92.2292486234063,15.25144664149587],[-92.08721594925206,15.06458466232844],[-92.20322953974732,14.83010285080406],[-92.22775000686982,14.53882864019092],[-93.35946387406176,15.61542959234367],[-93.87516883011852,15.94016429286591],[-94.69165646033013,16.20097524664288],[-95.25022701697304,16.12831818284064],[-96.05338212765332,15.75208791753959],[-96.55743404822828,15.65351512294279],[-97.26359249549665,15.91706492763131],[-98.01302995480961,16.10731171311391],[-98.94767574745651,16.56604340256876],[-99.69739742714705,16.70616404872816],[-100.8294988675813,17.17107107184205],[-101.6660886299544,17.64902639410962],[-101.9185280017002,17.91609019619397],[-102.4781320869889,17.97575063727509],[-103.500989549558,18.29229462327884],[-103.9175274320468,18.7485716822],[-104.9920096504754,19.31613393806168],[-105.4930384997614,19.94676727953543],[-105.7313960437076,20.43410187426411],[-105.3977729968313,20.53171865486342],[-105.5006607735244,20.81689504646612],[-105.2707523262579,21.07628489835514],[-105.265817226974,21.42210358325235],[-105.6031609769754,21.87114594165257],[-105.6934138659731,22.26908030851615],[-106.0287163968989,22.77375234627862],[-106.9099804349883,23.7677743596289],[-107.9154487780913,24.54891531015295],[-108.4019048734709,25.17231395110593],[-109.2601987374066,25.58060944264406],[-109.4440893217173,25.82488393808768],[-109.2916438464562,26.44293406829842],[-109.8014576892318,26.67617564544792],[-110.3917317370857,27.16211497650454],[-110.6410188464616,27.85987600352552],[-111.1789188301878,27.94124054616907],[-111.7596068998516,28.46795258230395],[-112.2282346260903,28.95440867768348],[-112.2718236967286,29.26684438732007],[-112.8095944893739,30.02111359305234],[-113.1638105945186,30.78688080496942],[-113.1486693998571,31.17096588797892],[-113.8718810697818,31.56760834403519],[-114.2057366606035,31.52404511161313],[-114.776451178835,31.79953217216115],[-114.9366997953721,31.3934846054276],[-114.7712318591734,30.91361725516526],[-114.6738992989517,30.16268117931599],[-114.3309744942629,29.75043244070741],[-113.5888750883354,29.06161143647301],[-113.4240531075405,28.82617361095123],[-113.2719693673055,28.75478261973989],[-113.1400394356643,28.41128937429596],[-112.9622983467965,28.42519033458251],[-112.7615870837748,27.78021678314752],[-112.4579105294116,27.52581370697475],[-112.2449519519367,27.17172679291076],[-111.6164890206192,26.66281728770047],[-111.284674648873,25.73258983001443],[-110.9878193835724,25.29460622812456],[-110.7100068835713,24.82600434010186],[-110.6550489978288,24.29859467213111],[-110.1728562081134,24.26554759368042],[-109.7718470935285,23.81118256275419],[-109.4091043770557,23.36467234953624],[-109.4333923002329,23.18558767342869],[-109.8542193266017,22.81827159269806],[-110.0313919747144,22.8230775009012],[-110.2950709704836,23.43097321216669],[-110.949501309028,24.00096426034599],[-111.6705684070126,24.48442312265251],[-112.1820358956214,24.73841278736716],[-112.1489888171708,25.47012523040405],[-112.3007108223796,26.01200429941661],[-112.7772967191915,26.32195954030316],[-113.4646707833219,26.76818553314342],[-113.5967299060438,26.63945954030447],[-113.8489367338442,26.90006378835244],[-114.46574662968,27.14209035899136],[-115.055142178185,27.72272675222291],[-114.9822525704374,27.79820018158511],[-114.5703655668549,27.74148529714489],[-114.1993287829992,28.11500254975055],[-114.1620183988846,28.5661119654423],[-114.9318422107366,29.27947927501549],[-115.5186539376269,29.5563615992354],[-115.8873652820295,30.18079376883417],[-116.2583503894529,30.83646434175358],[-116.7215262520849,31.63574372001204],[-117.1277599999998,32.53533999999996]]]]}"
5,Golden Retriever,"{""type"":""MultiPolygon"",""coordinates"":[[[[-6.197884894220991,53.86756500916336],[-6.953730231138067,54.07370229757563],[-7.572167934591064,54.059956366586],[-7.366030646178785,54.59584096945272],[-7.572167934591064,55.13162221945486],[-6.733847011736145,55.17286001242378],[-5.661948614921968,54.5546031764838],[-6.197884894220991,53.86756500916336]]],[[[-3.093830673788716,53.40454740066968],[-3.092079637047107,53.40444082296357],[-2.945008510744344,53.98499970154671],[-3.614700825433033,54.60093677329257],[-3.630005458989331,54.61501292583301],[-4.844169073903061,54.79097117778684],[-5.082526617849283,55.06160065369937],[-4.7191121077567,55.50847260194348],[-5.047980922862109,55.78398550070755],[-5.586397670911197,55.31114614523681],[-5.644998745130238,56.27501496034483],[-6.149980841486411,56.78500967063348],[-5.786824713555291,57.81884837506464],[-5.009998745127632,58.63001333275008],[-4.211494513353557,58.55084503847911],[-3.005004848635281,58.63500010846632],[-4.073828497728073,57.55302480735525],[-3.055001796877718,57.69001902936094],[-1.959280564776918,57.68479970969951],[-2.219988165689358,56.87001740175355],[-3.119003058271176,55.97379303651547],[-2.085009324543023,55.9099984808513],[-2.005675679673857,55.80490285035017],[-1.11499101399221,54.62498647726539],[-0.4304849918542,54.46437612570218],[0.184981316742039,53.32501414653103],[0.469976840831805,52.929999498092],[1.681530795914682,52.739520168664],[1.559987827164321,52.099998480836],[1.050561557630942,51.80676056579568],[1.449865349950244,51.2894278021219],[0.550333693045502,50.76573883727587],[-0.787517462558696,50.77498891865622],[-2.489997524414434,50.50001862243124],[-2.956273972984093,50.69687999124704],[-3.617448085942385,50.22835561787275],[-4.542507900399244,50.34183706318566],[-5.245023159191135,49.95999990498108],[-5.776566941745273,50.15967763935685],[-4.309989793301895,51.21000112568918],[-3.414850633142123,51.42600861266925],[-3.422719467108379,51.42684816740609],[-4.98436723471093,51.593466091511],[-5.267295701508942,51.99140045837458],[-4.222346564134909,52.30135569926136],[-4.77001339356417,52.84000499125562],[-4.579999152026971,53.49500377055517],[-3.093830673788716,53.40454740066968]]]]}"
6,Yorkshire Terrier,"{""type"":""MultiPolygon"",""coordinates"":[[[[-6.197884894220991,53.86756500916336],[-6.953730231138067,54.07370229757563],[-7.572167934591064,54.059956366586],[-7.366030646178785,54.59584096945272],[-7.572167934591064,55.13162221945486],[-6.733847011736145,55.17286001242378],[-5.661948614921968,54.5546031764838],[-6.197884894220991,53.86756500916336]]],[[[-3.093830673788716,53.40454740066968],[-3.092079637047107,53.40444082296357],[-2.945008510744344,53.98499970154671],[-3.614700825433033,54.60093677329257],[-3.630005458989331,54.61501292583301],[-4.844169073903061,54.79097117778684],[-5.082526617849283,55.06160065369937],[-4.7191121077567,55.50847260194348],[-5.047980922862109,55.78398550070755],[-5.586397670911197,55.31114614523681],[-5.644998745130238,56.27501496034483],[-6.149980841486411,56.78500967063348],[-5.786824713555291,57.81884837506464],[-5.009998745127632,58.63001333275008],[-4.211494513353557,58.55084503847911],[-3.005004848635281,58.63500010846632],[-4.073828497728073,57.55302480735525],[-3.055001796877718,57.69001902936094],[-1.959280564776918,57.68479970969951],[-2.219988165689358,56.87001740175355],[-3.119003058271176,55.97379303651547],[-2.085009324543023,55.9099984808513],[-2.005675679673857,55.80490285035017],[-1.11499101399221,54.62498647726539],[-0.4304849918542,54.46437612570218],[0.184981316742039,53.32501414653103],[0.469976840831805,52.929999498092],[1.681530795914682,52.739520168664],[1.559987827164321,52.099998480836],[1.050561557630942,51.80676056579568],[1.449865349950244,51.2894278021219],[0.550333693045502,50.76573883727587],[-0.787517462558696,50.77498891865622],[-2.489997524414434,50.50001862243124],[-2.956273972984093,50.69687999124704],[-3.617448085942385,50.22835561787275],[-4.542507900399244,50.34183706318566],[-5.245023159191135,49.95999990498108],[-5.776566941745273,50.15967763935685],[-4.309989793301895,51.21000112568918],[-3.414850633142123,51.42600861266925],[-3.422719467108379,51.42684816740609],[-4.98436723471093,51.593466091511],[-5.267295701508942,51.99140045837458],[-4.222346564134909,52.30135569926136],[-4.77001339356417,52.84000499125562],[-4.579999152026971,53.49500377055517],[-3.093830673788716,53.40454740066968]]]]}"
7,Dachshund(all varieties),"{""type"":""MultiPolygon"",""coordinates"":[[[[-6.197884894220991,53.86756500916336],[-6.953730231138067,54.07370229757563],[-7.572167934591064,54.059956366586],[-7.366030646178785,54.59584096945272],[-7.572167934591064,55.13162221945486],[-6.733847011736145,55.17286001242378],[-5.661948614921968,54.5546031764838],[-6.197884894220991,53.86756500916336]]],[[[-3.093830673788716,53.40454740066968],[-3.092079637047107,53.40444082296357],[-2.945008510744344,53.98499970154671],[-3.614700825433033,54.60093677329257],[-3.630005458989331,54.61501292583301],[-4.844169073903061,54.79097117778684],[-5.082526617849283,55.06160065369937],[-4.7191121077567,55.50847260194348],[-5.047980922862109,55.78398550070755],[-5.586397670911197,55.31114614523681],[-5.644998745130238,56.27501496034483],[-6.149980841486411,56.78500967063348],[-5.786824713555291,57.81884837506464],[-5.009998745127632,58.63001333275008],[-4.211494513353557,58.55084503847911],[-3.005004848635281,58.63500010846632],[-4.073828497728073,57.55302480735525],[-3.055001796877718,57.69001902936094],[-1.959280564776918,57.68479970969951],[-2.219988165689358,56.87001740175355],[-3.119003058271176,55.97379303651547],[-2.085009324543023,55.9099984808513],[-2.005675679673857,55.80490285035017],[-1.11499101399221,54.62498647726539],[-0.4304849918542,54.46437612570218],[0.184981316742039,53.32501414653103],[0.469976840831805,52.929999498092],[1.681530795914682,52.739520168664],[1.559987827164321,52.099998480836],[1.050561557630942,51.80676056579568],[1.449865349950244,51.2894278021219],[0.550333693045502,50.76573883727587],[-0.787517462558696,50.77498891865622],[-2.489997524414434,50.50001862243124],[-2.956273972984093,50.69687999124704],[-3.617448085942385,50.22835561787275],[-4.542507900399244,50.34183706318566],[-5.245023159191135,49.95999990498108],[-5.776566941745273,50.15967763935685],[-4.309989793301895,51.21000112568918],[-3.414850633142123,51.42600861266925],[-3.422719467108379,51.42684816740609],[-4.98436723471093,51.593466091511],[-5.267295701508942,51.99140045837458],[-4.222346564134909,52.30135569926136],[-4.77001339356417,52.84000499125562],[-4.579999152026971,53.49500377055517],[-3.093830673788716,53.40454740066968]]]]}"
8,Beagle,"{""type"":""MultiPolygon"",""coordinates"":[[[[-6.197884894220991,53.86756500916336],[-6.953730231138067,54.07370229757563],[-7.572167934591064,54.059956366586],[-7.366030646178785,54.59584096945272],[-7.572167934591064,55.13162221945486],[-6.733847011736145,55.17286001242378],[-5.661948614921968,54.5546031764838],[-6.197884894220991,53.86756500916336]]],[[[-3.093830673788716,53.40454740066968],[-3.092079637047107,53.40444082296357],[-2.945008510744344,53.98499970154671],[-3.614700825433033,54.60093677329257],[-3.630005458989331,54.61501292583301],[-4.844169073903061,54.79097117778684],[-5.082526617849283,55.06160065369937],[-4.7191121077567,55.50847260194348],[-5.047980922862109,55.78398550070755],[-5.586397670911197,55.31114614523681],[-5.644998745130238,56.27501496034483],[-6.149980841486411,56.78500967063348],[-5.786824713555291,57.81884837506464],[-5.009998745127632,58.63001333275008],[-4.211494513353557,58.55084503847911],[-3.005004848635281,58.63500010846632],[-4.073828497728073,57.55302480735525],[-3.055001796877718,57.69001902936094],[-1.959280564776918,57.68479970969951],[-2.219988165689358,56.87001740175355],[-3.119003058271176,55.97379303651547],[-2.085009324543023,55.9099984808513],[-2.005675679673857,55.80490285035017],[-1.11499101399221,54.62498647726539],[-0.4304849918542,54.46437612570218],[0.184981316742039,53.32501414653103],[0.469976840831805,52.929999498092],[1.681530795914682,52.739520168664],[1.559987827164321,52.099998480836],[1.050561557630942,51.80676056579568],[1.449865349950244,51.2894278021219],[0.550333693045502,50.76573883727587],[-0.787517462558696,50.77498891865622],[-2.489997524414434,50.50001862243124],[-2.956273972984093,50.69687999124704],[-3.617448085942385,50.22835561787275],[-4.542507900399244,50.34183706318566],[-5.245023159191135,49.95999990498108],[-5.776566941745273,50.15967763935685],[-4.309989793301895,51.21000112568918],[-3.414850633142123,51.42600861266925],[-3.422719467108379,51.42684816740609],[-4.98436723471093,51.593466091511],[-5.267295701508942,51.99140045837458],[-4.222346564134909,52.30135569926136],[-4.77001339356417,52.84000499125562],[-4.579999152026971,53.49500377055517],[-3.093830673788716,53.40454740066968]]]]}"
9,Boxer,"{""type"":""MultiPolygon"",""coordinates"":[[[[-6.197884894220991,53.86756500916336],[-6.953730231138067,54.07370229757563],[-7.572167934591064,54.059956366586],[-7.366030646178785,54.59584096945272],[-7.572167934591064,55.13162221945486],[-6.733847011736145,55.17286001242378],[-5.661948614921968,54.5546031764838],[-6.197884894220991,53.86756500916336]]],[[[-3.093830673788716,53.40454740066968],[-3.092079637047107,53.40444082296357],[-2.945008510744344,53.98499970154671],[-3.614700825433033,54.60093677329257],[-3.630005458989331,54.61501292583301],[-4.844169073903061,54.79097117778684],[-5.082526617849283,55.06160065369937],[-4.7191121077567,55.50847260194348],[-5.047980922862109,55.78398550070755],[-5.586397670911197,55.31114614523681],[-5.644998745130238,56.27501496034483],[-6.149980841486411,56.78500967063348],[-5.786824713555291,57.81884837506464],[-5.009998745127632,58.63001333275008],[-4.211494513353557,58.55084503847911],[-3.005004848635281,58.63500010846632],[-4.073828497728073,57.55302480735525],[-3.055001796877718,57.69001902936094],[-1.959280564776918,57.68479970969951],[-2.219988165689358,56.87001740175355],[-3.119003058271176,55.97379303651547],[-2.085009324543023,55.9099984808513],[-2.005675679673857,55.80490285035017],[-1.11499101399221,54.62498647726539],[-0.4304849918542,54.46437612570218],[0.184981316742039,53.32501414653103],[0.469976840831805,52.929999498092],[1.681530795914682,52.739520168664],[1.559987827164321,52.099998480836],[1.050561557630942,51.80676056579568],[1.449865349950244,51.2894278021219],[0.550333693045502,50.76573883727587],[-0.787517462558696,50.77498891865622],[-2.489997524414434,50.50001862243124],[-2.956273972984093,50.69687999124704],[-3.617448085942385,50.22835561787275],[-4.542507900399244,50.34183706318566],[-5.245023159191135,49.95999990498108],[-5.776566941745273,50.15967763935685],[-4.309989793301895,51.21000112568918],[-3.414850633142123,51.42600861266925],[-3.422719467108379,51.42684816740609],[-4.98436723471093,51.593466091511],[-5.267295701508942,51.99140045837458],[-4.222346564134909,52.30135569926136],[-4.77001339356417,52.84000499125562],[-4.579999152026971,53.49500377055517],[-3.093830673788716,53.40454740066968]]]]}"
10,Miniature Schnauzer,"{""type"":""MultiPolygon"",""coordinates"":[[[[-6.197884894220991,53.86756500916336],[-6.953730231138067,54.07370229757563],[-7.572167934591064,54.059956366586],[-7.366030646178785,54.59584096945272],[-7.572167934591064,55.13162221945486],[-6.733847011736145,55.17286001242378],[-5.661948614921968,54.5546031764838],[-6.197884894220991,53.86756500916336]]],[[[-3.093830673788716,53.40454740066968],[-3.092079637047107,53.40444082296357],[-2.945008510744344,53.98499970154671],[-3.614700825433033,54.60093677329257],[-3.630005458989331,54.61501292583301],[-4.844169073903061,54.79097117778684],[-5.082526617849283,55.06160065369937],[-4.7191121077567,55.50847260194348],[-5.047980922862109,55.78398550070755],[-5.586397670911197,55.31114614523681],[-5.644998745130238,56.27501496034483],[-6.149980841486411,56.78500967063348],[-5.786824713555291,57.81884837506464],[-5.009998745127632,58.63001333275008],[-4.211494513353557,58.55084503847911],[-3.005004848635281,58.63500010846632],[-4.073828497728073,57.55302480735525],[-3.055001796877718,57.69001902936094],[-1.959280564776918,57.68479970969951],[-2.219988165689358,56.87001740175355],[-3.119003058271176,55.97379303651547],[-2.085009324543023,55.9099984808513],[-2.005675679673857,55.80490285035017],[-1.11499101399221,54.62498647726539],[-0.4304849918542,54.46437612570218],[0.184981316742039,53.32501414653103],[0.469976840831805,52.929999498092],[1.681530795914682,52.739520168664],[1.559987827164321,52.099998480836],[1.050561557630942,51.80676056579568],[1.449865349950244,51.2894278021219],[0.550333693045502,50.76573883727587],[-0.787517462558696,50.77498891865622],[-2.489997524414434,50.50001862243124],[-2.956273972984093,50.69687999124704],[-3.617448085942385,50.22835561787275],[-4.542507900399244,50.34183706318566],[-5.245023159191135,49.95999990498108],[-5.776566941745273,50.15967763935685],[-4.309989793301895,51.21000112568918],[-3.414850633142123,51.42600861266925],[-3.422719467108379,51.42684816740609],[-4.98436723471093,51.593466091511],[-5.267295701508942,51.99140045837458],[-4.222346564134909,52.30135569926136],[-4.77001339356417,52.84000499125562],[-4.579999152026971,53.49500377055517],[-3.093830673788716,53.40454740066968]]]]}"
